,owner,project name,issue id,clone_link,clone_links
239,ansible,ansible-modules-core,4318,,https://github.com/ansible/ansible-modules-core.git
240,mitodl,micromasters,3851,,https://github.com/mitodl/micromasters.git
241,Tribler,tribler,875,,https://github.com/Tribler/tribler.git
242,ansible,ansible,42511,,https://github.com/ansible/ansible.git
243,mantidproject,mantid,21374,,https://github.com/mantidproject/mantid.git
244,numenta,nupic,1736,,https://github.com/numenta/nupic.git
245,neutrons,FastGR,23,,https://github.com/neutrons/FastGR.git
246,swcarpentry,amy,977,,https://github.com/swcarpentry/amy.git
247,airbnb,streamalert,470,,https://github.com/airbnb/streamalert.git
248,FX31337,FX-BT-Scripts,73,,https://github.com/FX31337/FX-BT-Scripts.git
249,ament,ament_tools,153,,https://github.com/ament/ament_tools.git
250,liqd,a4-meinberlin,911,,https://github.com/liqd/a4-meinberlin.git
251,ansible,ansible,30688,,https://github.com/ansible/ansible.git
252,unt-libraries,pyuntl,3,,https://github.com/unt-libraries/pyuntl.git
253,ansible,ansible,17534,,https://github.com/ansible/ansible.git
254,numba,numba,3477,,https://github.com/numba/numba.git
255,cloudant,python-cloudant,218,,https://github.com/cloudant/python-cloudant.git
256,gem,oq-engine,2491,,https://github.com/gem/oq-engine.git
257,torchbox,wagtail,1539,,https://github.com/torchbox/wagtail.git
258,ansible,ansible,30700,,https://github.com/ansible/ansible.git
259,faneshion,MatchZoo,92,,https://github.com/faneshion/MatchZoo.git
260,gitcoinco,web,2335,,https://github.com/gitcoinco/web.git
261,mlsecproject,combine,131,,https://github.com/mlsecproject/combine.git
262,CentOS-PaaS-SIG,linchpin,540,,https://github.com/CentOS-PaaS-SIG/linchpin.git
263,ansible,ansible,20379,,https://github.com/ansible/ansible.git
264,neuropoly,spinalcordtoolbox,1963,,https://github.com/neuropoly/spinalcordtoolbox.git
265,mitodl,micromasters,589,,https://github.com/mitodl/micromasters.git
266,Jumpscale,go-raml,147,,https://github.com/Jumpscale/go-raml.git
267,ManageIQ,integration_tests,4412,,https://github.com/ManageIQ/integration_tests.git
268,google,blockly,1695,,https://github.com/google/blockly.git
269,PaddlePaddle,Paddle,7796,,https://github.com/PaddlePaddle/Paddle.git
270,BD2KGenomics,toil-scripts,197,,https://github.com/BD2KGenomics/toil-scripts.git
271,GoogleCloudPlatform,gcloud-python,513,,https://github.com/GoogleCloudPlatform/gcloud-python.git
272,codeforamerica,pittsburgh-purchasing-suite,105,,https://github.com/codeforamerica/pittsburgh-purchasing-suite.git
273,ansible,ansible,27283,,https://github.com/ansible/ansible.git
274,QISKit,qiskit-sdk-py,391,,https://github.com/QISKit/qiskit-sdk-py.git
275,missionpinball,mpf,543,,https://github.com/missionpinball/mpf.git
276,mkdocs,mkdocs,499,,https://github.com/mkdocs/mkdocs.git
277,jupyter,nbgrader,163,,https://github.com/jupyter/nbgrader.git
278,ansible,ansible,33280,,https://github.com/ansible/ansible.git
279,buildbot,buildbot,3021,,https://github.com/buildbot/buildbot.git
280,ansible,ansible,36705,,https://github.com/ansible/ansible.git
281,tildaslash,RatticWeb,229,,https://github.com/tildaslash/RatticWeb.git
282,ansible,ansible,43627,,https://github.com/ansible/ansible.git
283,asciidisco,plugin.video.netflix,438,,https://github.com/asciidisco/plugin.video.netflix.git
284,inspirehep,inspire-next,2456,,https://github.com/inspirehep/inspire-next.git
285,pantsbuild,pants,5082,,https://github.com/pantsbuild/pants.git
286,project-rig,rig,57,,https://github.com/project-rig/rig.git
287,wong2,pick,2,,https://github.com/wong2/pick.git
288,hydroshare,hydroshare,2397,,https://github.com/hydroshare/hydroshare.git
289,ansible,ansible,22465,,https://github.com/ansible/ansible.git
290,apache,incubator-superset,292,,https://github.com/apache/incubator-superset.git
291,Microsoft,PTVS,3882,,https://github.com/Microsoft/PTVS.git
292,ansible,ansible,20954,,https://github.com/ansible/ansible.git
293,ansible,ansible,14531,,https://github.com/ansible/ansible.git
294,ufo-kit,concert,382,,https://github.com/ufo-kit/concert.git
295,mitodl,micromasters,3327,,https://github.com/mitodl/micromasters.git
296,apache,incubator-mxnet,8303,,https://github.com/apache/incubator-mxnet.git
297,pandas-dev,pandas,22556,,https://github.com/pandas-dev/pandas.git
298,nvbn,thefuck,807,,https://github.com/nvbn/thefuck.git
299,pandas-dev,pandas,18480,,https://github.com/pandas-dev/pandas.git
300,bokeh,bokeh,3425,,https://github.com/bokeh/bokeh.git
301,ganga-devs,ganga,536,,https://github.com/ganga-devs/ganga.git
302,ansible,ansible,44327,,https://github.com/ansible/ansible.git
303,mantidproject,mantid,19587,,https://github.com/mantidproject/mantid.git
304,pandas-dev,pandas,23556,,https://github.com/pandas-dev/pandas.git
305,dseuss,mpnum,2,,https://github.com/dseuss/mpnum.git
306,bokeh,bokeh,3834,,https://github.com/bokeh/bokeh.git
307,ansible,ansible,25590,,https://github.com/ansible/ansible.git
308,miki725,django-rest-framework-bulk,18,,https://github.com/miki725/django-rest-framework-bulk.git
309,zenodo,zenodo,825,,https://github.com/zenodo/zenodo.git
310,ansible,ansible,10742,,https://github.com/ansible/ansible.git
311,ansible,ansible,18526,,https://github.com/ansible/ansible.git
312,PyAr,fades,279,,https://github.com/PyAr/fades.git
313,phoebe-project,phoebe2,296,,https://github.com/phoebe-project/phoebe2.git
314,metomi,rose,1774,,https://github.com/metomi/rose.git
315,ContinuumIO,odo,169,,https://github.com/ContinuumIO/odo.git
316,Cog-Creators,Red-DiscordBot,1477,,https://github.com/Cog-Creators/Red-DiscordBot.git
317,ansible,ansible,27242,,https://github.com/ansible/ansible.git
318,ansible,ansible,25473,,https://github.com/ansible/ansible.git
319,mkdocs,mkdocs,412,,https://github.com/mkdocs/mkdocs.git
320,desihub,desitarget,260,,https://github.com/desihub/desitarget.git
321,ansible,ansible-container,717,,https://github.com/ansible/ansible-container.git
322,QuantConnect,Lean,1680,,https://github.com/QuantConnect/Lean.git
323,dbcli,vcli,42,,https://github.com/dbcli/vcli.git
324,SoCo,SoCo,475,,https://github.com/SoCo/SoCo.git
325,ansible,ansible-modules-core,4933,,https://github.com/ansible/ansible-modules-core.git
326,geometalab,osmaxx,309,,https://github.com/geometalab/osmaxx.git
327,ansible,ansible,45002,,https://github.com/ansible/ansible.git
328,ONSdigital,eq-survey-runner,1004,,https://github.com/ONSdigital/eq-survey-runner.git
329,ciudadanointeligente,write-it,828,,https://github.com/ciudadanointeligente/write-it.git
330,pixelated,pixelated-user-agent,889,,https://github.com/pixelated/pixelated-user-agent.git
331,ansible,ansible,19673,,https://github.com/ansible/ansible.git
332,flask-restful,flask-restful,396,,https://github.com/flask-restful/flask-restful.git
333,ansible,ansible,41060,,https://github.com/ansible/ansible.git
334,ansible,ansible,27115,,https://github.com/ansible/ansible.git
335,SanaMobile,sana.protocol_builder,91,,https://github.com/SanaMobile/sana.protocol_builder.git
336,missionpinball,mpf,576,,https://github.com/missionpinball/mpf.git
337,pandas-dev,pandas,16957,,https://github.com/pandas-dev/pandas.git
338,jupyter,jupyterlab,20,,https://github.com/jupyter/jupyterlab.git
339,postmarketOS,pmbootstrap,1017,,https://github.com/postmarketOS/pmbootstrap.git
340,ansible,ansible,40850,,https://github.com/ansible/ansible.git
341,raiden-network,raiden,2720,,https://github.com/raiden-network/raiden.git
342,pr-omethe-us,PyKED,37,,https://github.com/pr-omethe-us/PyKED.git
343,freedomofpress,securedrop,3299,,https://github.com/freedomofpress/securedrop.git
344,ansible,ansible,12916,,https://github.com/ansible/ansible.git
345,poldracklab,fmriprep,1090,,https://github.com/poldracklab/fmriprep.git
346,ansible,ansible,17832,,https://github.com/ansible/ansible.git
347,inveniosoftware,invenio,2351,,https://github.com/inveniosoftware/invenio.git
348,cgstudiomap,cgstudiomap,177,,https://github.com/cgstudiomap/cgstudiomap.git
